time,envelope_change,sway_speed,sway_lean
2.812,0.0216520260385332,0.0,0.0
2.814,0.0206455418913809,0.0,0.0
2.816,0.0196061442536123,0.0,0.0
2.818,0.0185437311199156,0.0,0.0
2.82,0.0174679922641103,0.0,0.0
2.822,0.0163882626643338,0.0,0.0
2.824,0.0153133939303629,0.0,0.0
2.826,0.0142516446041534,0.0,0.0
2.828,0.013210589626411,0.0,0.0
2.83,0.0121970488441728,0.0,0.0
2.832,0.0112170344687102,0.0,0.0
2.834,0.0102757175342407,0.0,0.0
2.836,0.0093774131265064,0.0,0.0
2.838,0.0085255833737231,0.0,0.0
2.84,0.0077228565340705,0.0,0.0
2.842,0.0069710606324232,0.0,0.0
2.844,0.0062712704737777,0.0,0.0
2.846,0.0056238664411263,0.0,0.0
2.848,0.0050286025664161,0.0,0.0
2.85,0.0044846810228834,0.0,0.0
2.852,0.0039908305590561,0.0,0.0
2.854,0.0035453869314693,0.0,0.0
2.856,0.0031463738163813,0.0,0.0
2.858,0.0027915829322503,0.0,0.0
2.86,0.0024786521412399,0.0,0.0
2.862,0.0022051400536177,0.0,0.0
2.864,0.0019685952225264,0.0,0.0
2.866,0.0017666179307343,0.0,0.0
2.868,0.0015969132291952,0.0,0.0
2.87,0.001457334791368,0.0,0.0
2.872,0.0013459195323281,0.0,0.0
2.874,0.001260912699731,0.0,0.0
2.876,0.0012007827186473,0.0,0.0
2.878,0.0011642248841397,0.0,0.0
2.88,0.0011501530831014,0.0,0.0
2.882,0.001157678955016,0.0,0.0
2.884,0.0011860782683392,0.0,0.0
2.886,0.0012347446976313,0.0,0.0
2.888,0.0013031314594686,0.0,0.0
2.89,0.0013906813796591,0.0,0.0
2.892,0.0014967459233175,0.0,0.0
2.894,0.0016204935549792,0.0,0.0
2.896,0.0017608168653674,0.0,0.0
2.898,0.0019162687846631,0.0,0.0
2.9,0.0020850546738608,0.0,0.0
2.902,0.0022650698341439,0.0,0.0
2.904,0.0024539541210984,0.0,0.0
2.906,0.0026491496303589,0.0,0.0
2.908,0.0028479592397385,0.0,0.0
2.91,0.003047605499182,0.0,0.0
2.912,0.0032452893743553,0.0,0.0
2.914,0.0034382482998136,0.0,0.0
2.916,0.003623812882655,0.0,0.0
2.918,0.0037994615174727,0.0,0.0
2.92,0.0039628721418262,0.0,0.0
2.922,0.0041119702990139,0.0,0.0
2.924,0.004244972551322,0.0,0.0
2.926,0.0043604241925436,0.0,0.0
2.928,0.0044572303009604,0.0,0.0
2.93,0.0045346793698222,0.0,0.0
2.932,0.0045924587587736,0.0,0.0
2.934,0.0046306612024464,0.0,0.0
2.936,0.0046497818734457,0.0,0.0
2.938,0.0046507054744978,0.0,0.0
2.94,0.0046346821875896,0.0,0.0
2.942,0.0046032909830439,0.0,0.0
2.944,0.0045583900863301,0.0,0.0
2.946,0.0045020574041641,0.0,0.0
2.948,0.0044365263189351,0.0,0.0
2.95,0.0043641222681507,0.0,0.0
2.952,0.004287203703613,0.0,0.0
2.954,0.0042081095279123,0.0,0.0
2.956,0.0041291146095942,0.0,0.0
2.958,0.0040523949221485,0.0,0.0
2.96,0.0039800034203105,0.0,0.0
2.962,0.0039138564925319,0.0,0.0
2.964,0.0038557292078454,0.0,0.0
2.966,0.0038072566800888,0.0,0.0
2.968,0.0037699390259239,0.0,0.0
2.97,0.0037451480292596,0.0,0.0
2.972,0.0037341343472638,0.0,0.0
2.974,0.0037380345938839,0.0,0.0
2.976,0.0037578772729386,0.0,0.0
2.978,0.003794585095164,0.0,0.0
2.98,0.0038489693480497,0.0,0.0
2.982,0.0039217105688725,0.0,0.0
2.984,0.0040133190799214,0.0,0.0
2.986,0.0041240684995315,0.0,0.0
2.988,0.0042538947664341,0.0,0.0
2.99,0.00440225294978,0.0,0.0
2.992,0.0045679302447877,0.0,0.0
2.994,0.0047488578991417,0.0,0.0
2.996,0.0049420298512605,0.0,0.0
2.998,0.0051435970913761,0.0,0.0
3.0,0.0053490808266184,0.0,0.0
3.002,0.0055536140514353,0.0,0.0
3.004,0.0057521755423543,0.0,0.0
3.006,0.0059398080471499,0.0,0.0
3.008,0.0061118138762887,0.0,0.0
3.01,0.0062639236686329,0.0,0.0
3.012,0.0063924359416395,0.0,0.0
3.014,0.0064943259214346,0.0,0.0
3.016,0.0065673230531732,0.0,0.0
3.018,0.0066099576345667,0.0,0.0
3.02,0.0066215785525748,0.0,0.0
3.022,0.0066023458808883,0.0,0.0
3.024,0.0065532028667523,0.0,0.0
